type;exec;size;slave;round_trip_time;latency
portal;10;4096;12;131;65.50
portal;10;4096;13;135;67.50
portal;10;4096;14;135;67.50
portal;10;4096;15;147;73.50
portal;11;4096;0;132;66.00
portal;11;4096;1;140;70.00
portal;11;4096;2;134;67.00
portal;11;4096;3;134;67.00
portal;11;4096;4;128;64.00
portal;11;4096;5;135;67.50
portal;11;4096;6;139;69.50
portal;11;4096;7;135;67.50
portal;11;4096;8;130;65.00
portal;11;4096;9;137;68.50
portal;11;4096;10;145;72.50
portal;11;4096;11;140;70.00
portal;11;4096;12;128;64.00
portal;11;4096;13;135;67.50
portal;11;4096;14;139;69.50
portal;11;4096;15;141;70.50
portal;12;4096;0;128;64.00
portal;12;4096;1;142;71.00
portal;12;4096;2;139;69.50
portal;12;4096;3;142;71.00
portal;12;4096;4;133;66.50
portal;12;4096;5;142;71.00
portal;12;4096;6;139;69.50
portal;12;4096;7;139;69.50
portal;12;4096;8;133;66.50
portal;12;4096;9;139;69.50
portal;12;4096;10;138;69.00
portal;12;4096;11;136;68.00
portal;12;4096;12;138;69.00
portal;12;4096;13;140;70.00
portal;12;4096;14;141;70.50
portal;12;4096;15;140;70.00
portal;13;4096;0;128;64.00
portal;13;4096;1;138;69.00
portal;13;4096;2;141;70.50
portal;13;4096;3;135;67.50
portal;13;4096;4;128;64.00
portal;13;4096;5;138;69.00
portal;13;4096;6;134;67.00
portal;13;4096;7;144;72.00
portal;13;4096;8;136;68.00
portal;13;4096;9;134;67.00
portal;13;4096;10;140;70.00
portal;13;4096;11;138;69.00
portal;13;4096;12;132;66.00
portal;13;4096;13;139;69.50
portal;13;4096;14;146;73.00
portal;13;4096;15;139;69.50
portal;14;4096;0;134;67.00
portal;14;4096;1;134;67.00
portal;14;4096;2;146;73.00
portal;14;4096;3;141;70.50
portal;14;4096;4;135;67.50
portal;14;4096;5;140;70.00
portal;14;4096;6;140;70.00
portal;14;4096;7;138;69.00
portal;14;4096;8;131;65.50
portal;14;4096;9;143;71.50
portal;14;4096;10;141;70.50
portal;14;4096;11;140;70.00
portal;14;4096;12;131;65.50
portal;14;4096;13;138;69.00
portal;14;4096;14;141;70.50
portal;14;4096;15;135;67.50
portal;15;4096;0;132;66.00
portal;15;4096;1;140;70.00
portal;15;4096;2;141;70.50
portal;15;4096;3;141;70.50
portal;15;4096;4;132;66.00
portal;15;4096;5;138;69.00
portal;15;4096;6;135;67.50
portal;15;4096;7;139;69.50
portal;15;4096;8;126;63.00
portal;15;4096;9;135;67.50
portal;15;4096;10;138;69.00
portal;15;4096;11;145;72.50
portal;15;4096;12;125;62.50
portal;15;4096;13;140;70.00
portal;15;4096;14;141;70.50
portal;15;4096;15;142;71.00
portal;16;4096;0;132;66.00
portal;16;4096;1;138;69.00
portal;16;4096;2;139;69.50
portal;16;4096;3;144;72.00
portal;16;4096;4;132;66.00
portal;16;4096;5;139;69.50
portal;16;4096;6;152;76.00
portal;16;4096;7;142;71.00
portal;16;4096;8;136;68.00
portal;16;4096;9;141;70.50
portal;16;4096;10;134;67.00
portal;16;4096;11;137;68.50
portal;16;4096;12;128;64.00
portal;16;4096;13;144;72.00
portal;16;4096;14;143;71.50
portal;16;4096;15;141;70.50
portal;17;4096;0;128;64.00
portal;17;4096;1;146;73.00
portal;17;4096;2;139;69.50
portal;17;4096;3;141;70.50
portal;17;4096;4;132;66.00
portal;17;4096;5;134;67.00
portal;17;4096;6;139;69.50
portal;17;4096;7;142;71.00
portal;17;4096;8;138;69.00
portal;17;4096;9;137;68.50
portal;17;4096;10;136;68.00
portal;17;4096;11;138;69.00
portal;17;4096;12;130;65.00
portal;17;4096;13;135;67.50
portal;17;4096;14;142;71.00
portal;17;4096;15;142;71.00
portal;18;4096;0;128;64.00
portal;18;4096;1;139;69.50
portal;18;4096;2;136;68.00
portal;18;4096;3;144;72.00
portal;18;4096;4;133;66.50
portal;18;4096;5;138;69.00
portal;18;4096;6;136;68.00
portal;18;4096;7;135;67.50
portal;18;4096;8;132;66.00
portal;18;4096;9;140;70.00
portal;18;4096;10;147;73.50
portal;18;4096;11;137;68.50
portal;18;4096;12;134;67.00
portal;18;4096;13;132;66.00
portal;18;4096;14;144;72.00
portal;18;4096;15;141;70.50
portal;19;4096;0;132;66.00
portal;19;4096;1;137;68.50
portal;19;4096;2;140;70.00
portal;19;4096;3;139;69.50
portal;19;4096;4;129;64.50
portal;19;4096;5;141;70.50
portal;19;4096;6;140;70.00
portal;19;4096;7;136;68.00
portal;19;4096;8;134;67.00
portal;19;4096;9;136;68.00
portal;19;4096;10;140;70.00
portal;19;4096;11;140;70.00
portal;19;4096;12;132;66.00
portal;19;4096;13;138;69.00
portal;19;4096;14;137;68.50
portal;19;4096;15;141;70.50
portal;20;4096;0;136;68.00
portal;20;4096;1;140;70.00
portal;20;4096;2;140;70.00
portal;20;4096;3;135;67.50
portal;20;4096;4;127;63.50
portal;20;4096;5;139;69.50
portal;20;4096;6;141;70.50
portal;20;4096;7;139;69.50
portal;20;4096;8;128;64.00
portal;20;4096;9;135;67.50
portal;20;4096;10;141;70.50
portal;20;4096;11;142;71.00
portal;20;4096;12;132;66.00
portal;20;4096;13;136;68.00
portal;20;4096;14;140;70.00
portal;20;4096;15;142;71.00
portal;21;4096;0;132;66.00
portal;21;4096;1;138;69.00
portal;21;4096;2;145;72.50
portal;21;4096;3;135;67.50
portal;21;4096;4;133;66.50
portal;21;4096;5;142;71.00
portal;21;4096;6;143;71.50
portal;21;4096;7;137;68.50
portal;21;4096;8;126;63.00
portal;21;4096;9;138;69.00
portal;21;4096;10;140;70.00
portal;21;4096;11;140;70.00
portal;21;4096;12;130;65.00
portal;21;4096;13;137;68.50
portal;21;4096;14;141;70.50
portal;21;4096;15;140;70.00
portal;22;4096;0;129;64.50
portal;22;4096;1;134;67.00
portal;22;4096;2;134;67.00
portal;22;4096;3;141;70.50
portal;22;4096;4;133;66.50
portal;22;4096;5;136;68.00
portal;22;4096;6;142;71.00
portal;22;4096;7;141;70.50
portal;22;4096;8;133;66.50
portal;22;4096;9;138;69.00
portal;22;4096;10;137;68.50
portal;22;4096;11;141;70.50
portal;22;4096;12;127;63.50
portal;22;4096;13;140;70.00
portal;22;4096;14;135;67.50
portal;22;4096;15;146;73.00
portal;23;4096;0;129;64.50
portal;23;4096;1;138;69.00
portal;23;4096;2;141;70.50
portal;23;4096;3;143;71.50
portal;23;4096;4;136;68.00
portal;23;4096;5;140;70.00
portal;23;4096;6;149;74.50
portal;23;4096;7;139;69.50
portal;23;4096;8;135;67.50
portal;23;4096;9;132;66.00
portal;23;4096;10;144;72.00
portal;23;4096;11;142;71.00
portal;23;4096;12;130;65.00
portal;23;4096;13;138;69.00
portal;23;4096;14;139;69.50
portal;23;4096;15;138;69.00
portal;24;4096;0;130;65.00
portal;24;4096;1;144;72.00
portal;24;4096;2;135;67.50
portal;24;4096;3;136;68.00
portal;24;4096;4;130;65.00
portal;24;4096;5;138;69.00
portal;24;4096;6;136;68.00
portal;24;4096;7;137;68.50
portal;24;4096;8;132;66.00
portal;24;4096;9;133;66.50
portal;24;4096;10;139;69.50
portal;24;4096;11;142;71.00
portal;24;4096;12;137;68.50
portal;24;4096;13;137;68.50
portal;24;4096;14;137;68.50
portal;24;4096;15;139;69.50
portal;25;4096;0;130;65.00
portal;25;4096;1;140;70.00
portal;25;4096;2;134;67.00
portal;25;4096;3;144;72.00
portal;25;4096;4;131;65.50
portal;25;4096;5;142;71.00
portal;25;4096;6;136;68.00
portal;25;4096;7;150;75.00
portal;25;4096;8;135;67.50
portal;25;4096;9;135;67.50
portal;25;4096;10;140;70.00
portal;25;4096;11;137;68.50
portal;25;4096;12;132;66.00
portal;25;4096;13;139;69.50
portal;25;4096;14;147;73.50
portal;25;4096;15;142;71.00
portal;26;4096;0;136;68.00
portal;26;4096;1;143;71.50
portal;26;4096;2;138;69.00
portal;26;4096;3;137;68.50
portal;26;4096;4;134;67.00
portal;26;4096;5;143;71.50
portal;26;4096;6;142;71.00
portal;26;4096;7;135;67.50
portal;26;4096;8;136;68.00
portal;26;4096;9;142;71.00
portal;26;4096;10;135;67.50
portal;26;4096;11;141;70.50
portal;26;4096;12;134;67.00
portal;26;4096;13;140;70.00
portal;26;4096;14;140;70.00
portal;26;4096;15;142;71.00
portal;27;4096;0;138;69.00
portal;27;4096;1;133;66.50
portal;27;4096;2;135;67.50
portal;27;4096;3;141;70.50
portal;27;4096;4;131;65.50
portal;27;4096;5;139;69.50
portal;27;4096;6;137;68.50
portal;27;4096;7;143;71.50
portal;27;4096;8;135;67.50
portal;27;4096;9;138;69.00
portal;27;4096;10;139;69.50
portal;27;4096;11;147;73.50
portal;27;4096;12;134;67.00
portal;27;4096;13;138;69.00
portal;27;4096;14;142;71.00
portal;27;4096;15;139;69.50
portal;28;4096;0;133;66.50
portal;28;4096;1;136;68.00
portal;28;4096;2;146;73.00
portal;28;4096;3;141;70.50
portal;28;4096;4;134;67.00
portal;28;4096;5;140;70.00
portal;28;4096;6;145;72.50
portal;28;4096;7;139;69.50
portal;28;4096;8;132;66.00
portal;28;4096;9;140;70.00
portal;28;4096;10;135;67.50
portal;28;4096;11;133;66.50
portal;28;4096;12;132;66.00
portal;28;4096;13;138;69.00
portal;28;4096;14;137;68.50
portal;28;4096;15;136;68.00
portal;29;4096;0;133;66.50
portal;29;4096;1;134;67.00
portal;29;4096;2;142;71.00
portal;29;4096;3;139;69.50
portal;29;4096;4;131;65.50
portal;29;4096;5;137;68.50
portal;29;4096;6;140;70.00
portal;29;4096;7;142;71.00
portal;29;4096;8;133;66.50
portal;29;4096;9;140;70.00
portal;29;4096;10;139;69.50
portal;29;4096;11;135;67.50
portal;29;4096;12;132;66.00
portal;29;4096;13;141;70.50
portal;29;4096;14;136;68.00
portal;29;4096;15;152;76.00
portal;30;4096;0;128;64.00
portal;30;4096;1;140;70.00
portal;30;4096;2;141;70.50
portal;30;4096;3;144;72.00
portal;30;4096;4;133;66.50
portal;30;4096;5;142;71.00
portal;30;4096;6;139;69.50
portal;30;4096;7;141;70.50
portal;30;4096;8;129;64.50
portal;30;4096;9;135;67.50
portal;30;4096;10;145;72.50
portal;30;4096;11;137;68.50
portal;30;4096;12;132;66.00
portal;30;4096;13;138;69.00
portal;30;4096;14;133;66.50
portal;30;4096;15;143;71.50
portal;31;4096;0;129;64.50
portal;31;4096;1;144;72.00
portal;31;4096;2;137;68.50
portal;31;4096;3;136;68.00
portal;31;4096;4;131;65.50
portal;31;4096;5;140;70.00
portal;31;4096;6;135;67.50
portal;31;4096;7;141;70.50
portal;31;4096;8;133;66.50
portal;31;4096;9;136;68.00
portal;31;4096;10;138;69.00
portal;31;4096;11;142;71.00
portal;31;4096;12;132;66.00
portal;31;4096;13;142;71.00
portal;31;4096;14;138;69.00
portal;31;4096;15;448;224.00
portal;1;8192;0;155;77.50
portal;1;8192;1;154;77.00
portal;1;8192;2;149;74.50
portal;1;8192;3;145;72.50
portal;1;8192;4;141;70.50
portal;1;8192;5;141;70.50
portal;1;8192;6;142;71.00
portal;1;8192;7;145;72.50
portal;1;8192;8;132;66.00
portal;1;8192;9;142;71.00
portal;1;8192;10;144;72.00
portal;1;8192;11;150;75.00
portal;1;8192;12;133;66.50
portal;1;8192;13;140;70.00
portal;1;8192;14;145;72.50
portal;1;8192;15;149;74.50
portal;2;8192;0;134;67.00
portal;2;8192;1;141;70.50
portal;2;8192;2;141;70.50
portal;2;8192;3;143;71.50
portal;2;8192;4;133;66.50
portal;2;8192;5;139;69.50
portal;2;8192;6;146;73.00
portal;2;8192;7;141;70.50
portal;2;8192;8;134;67.00
portal;2;8192;9;139;69.50
portal;2;8192;10;142;71.00
portal;2;8192;11;144;72.00
portal;2;8192;12;135;67.50
portal;2;8192;13;145;72.50
portal;2;8192;14;143;71.50
portal;2;8192;15;142;71.00
portal;3;8192;0;137;68.50
portal;3;8192;1;140;70.00
portal;3;8192;2;140;70.00
portal;3;8192;3;146;73.00
portal;3;8192;4;133;66.50
portal;3;8192;5;139;69.50
portal;3;8192;6;145;72.50
portal;3;8192;7;142;71.00
portal;3;8192;8;142;71.00
portal;3;8192;9;147;73.50
portal;3;8192;10;141;70.50
portal;3;8192;11;142;71.00
portal;3;8192;12;136;68.00
portal;3;8192;13;144;72.00
portal;3;8192;14;144;72.00
portal;3;8192;15;149;74.50
portal;4;8192;0;134;67.00
portal;4;8192;1;140;70.00
portal;4;8192;2;144;72.00
portal;4;8192;3;144;72.00
portal;4;8192;4;131;65.50
portal;4;8192;5;140;70.00
portal;4;8192;6;148;74.00
portal;4;8192;7;138;69.00
portal;4;8192;8;133;66.50
portal;4;8192;9;143;71.50
portal;4;8192;10;142;71.00
portal;4;8192;11;143;71.50
portal;4;8192;12;134;67.00
portal;4;8192;13;138;69.00
portal;4;8192;14;143;71.50
portal;4;8192;15;143;71.50
portal;5;8192;0;134;67.00
portal;5;8192;1;143;71.50
portal;5;8192;2;140;70.00
portal;5;8192;3;141;70.50
portal;5;8192;4;135;67.50
portal;5;8192;5;142;71.00
portal;5;8192;6;139;69.50
portal;5;8192;7;141;70.50
portal;5;8192;8;139;69.50
portal;5;8192;9;141;70.50
portal;5;8192;10;142;71.00
portal;5;8192;11;143;71.50
portal;5;8192;12;132;66.00
portal;5;8192;13;139;69.50
portal;5;8192;14;139;69.50
portal;5;8192;15;143;71.50
portal;6;8192;0;137;68.50
portal;6;8192;1;142;71.00
portal;6;8192;2;141;70.50
portal;6;8192;3;153;76.50
portal;6;8192;4;134;67.00
portal;6;8192;5;141;70.50
portal;6;8192;6;141;70.50
portal;6;8192;7;144;72.00
portal;6;8192;8;134;67.00
portal;6;8192;9;141;70.50
portal;6;8192;10;146;73.00
portal;6;8192;11;141;70.50
portal;6;8192;12;138;69.00
portal;6;8192;13;140;70.00
portal;6;8192;14;143;71.50
portal;6;8192;15;139;69.50
portal;7;8192;0;135;67.50
portal;7;8192;1;146;73.00
portal;7;8192;2;141;70.50
portal;7;8192;3;141;70.50
portal;7;8192;4;136;68.00
portal;7;8192;5;140;70.00
portal;7;8192;6;143;71.50
portal;7;8192;7;141;70.50
portal;7;8192;8;133;66.50
portal;7;8192;9;141;70.50
portal;7;8192;10;142;71.00
portal;7;8192;11;141;70.50
portal;7;8192;12;132;66.00
portal;7;8192;13;139;69.50
portal;7;8192;14;139;69.50
portal;7;8192;15;145;72.50
portal;8;8192;0;133;66.50
portal;8;8192;1;145;72.50
portal;8;8192;2;140;70.00
portal;8;8192;3;154;77.00
portal;8;8192;4;140;70.00
portal;8;8192;5;143;71.50
portal;8;8192;6;140;70.00
portal;8;8192;7;140;70.00
portal;8;8192;8;134;67.00
portal;8;8192;9;144;72.00
portal;8;8192;10;150;75.00
portal;8;8192;11;143;71.50
portal;8;8192;12;133;66.50
portal;8;8192;13;140;70.00
portal;8;8192;14;146;73.00
portal;8;8192;15;143;71.50
portal;9;8192;0;134;67.00
portal;9;8192;1;140;70.00
portal;9;8192;2;144;72.00
portal;9;8192;3;142;71.00
portal;9;8192;4;132;66.00
portal;9;8192;5;151;75.50
portal;9;8192;6;143;71.50
portal;9;8192;7;145;72.50
portal;9;8192;8;134;67.00
portal;9;8192;9;139;69.50
portal;9;8192;10;140;70.00
portal;9;8192;11;142;71.00
portal;9;8192;12;140;70.00
portal;9;8192;13;140;70.00
portal;9;8192;14;142;71.00
portal;9;8192;15;145;72.50
portal;10;8192;0;144;72.00
portal;10;8192;1;139;69.50
portal;10;8192;2;140;70.00
portal;10;8192;3;142;71.00
portal;10;8192;4;135;67.50
portal;10;8192;5;141;70.50
portal;10;8192;6;142;71.00
portal;10;8192;7;151;75.50
portal;10;8192;8;139;69.50
portal;10;8192;9;143;71.50
portal;10;8192;10;142;71.00
portal;10;8192;11;142;71.00
portal;10;8192;12;134;67.00
portal;10;8192;13;141;70.50
portal;10;8192;14;145;72.50
portal;10;8192;15;140;70.00
portal;11;8192;0;135;67.50
portal;11;8192;1;140;70.00
portal;11;8192;2;141;70.50
portal;11;8192;3;140;70.00
portal;11;8192;4;133;66.50
portal;11;8192;5;146;73.00
portal;11;8192;6;143;71.50
portal;11;8192;7;145;72.50
portal;11;8192;8;135;67.50
portal;11;8192;9;146;73.00
portal;11;8192;10;143;71.50
portal;11;8192;11;143;71.50
portal;11;8192;12;133;66.50
portal;11;8192;13;141;70.50
portal;11;8192;14;143;71.50
portal;11;8192;15;145;72.50
portal;12;8192;0;139;69.50
portal;12;8192;1;142;71.00
portal;12;8192;2;141;70.50
portal;12;8192;3;143;71.50
portal;12;8192;4;136;68.00
portal;12;8192;5;141;70.50
portal;12;8192;6;143;71.50
portal;12;8192;7;147;73.50
portal;12;8192;8;135;67.50
portal;12;8192;9;139;69.50
portal;12;8192;10;139;69.50
portal;12;8192;11;139;69.50
portal;12;8192;12;136;68.00
portal;12;8192;13;142;71.00
portal;12;8192;14;147;73.50
portal;12;8192;15;143;71.50
portal;13;8192;0;135;67.50
portal;13;8192;1;139;69.50
portal;13;8192;2;146;73.00
portal;13;8192;3;143;71.50
portal;13;8192;4;135;67.50
portal;13;8192;5;143;71.50
portal;13;8192;6;141;70.50
portal;13;8192;7;149;74.50
portal;13;8192;8;133;66.50
portal;13;8192;9;144;72.00
portal;13;8192;10;142;71.00
portal;13;8192;11;140;70.00
portal;13;8192;12;132;66.00
portal;13;8192;13;142;71.00
portal;13;8192;14;143;71.50
portal;13;8192;15;143;71.50
portal;14;8192;0;139;69.50
portal;14;8192;1;135;67.50
portal;14;8192;2;144;72.00
portal;14;8192;3;145;72.50
portal;14;8192;4;134;67.00
portal;14;8192;5;138;69.00
portal;14;8192;6;140;70.00
portal;14;8192;7;144;72.00
portal;14;8192;8;133;66.50
portal;14;8192;9;140;70.00
portal;14;8192;10;140;70.00
portal;14;8192;11;148;74.00
portal;14;8192;12;133;66.50
portal;14;8192;13;141;70.50
portal;14;8192;14;144;72.00
portal;14;8192;15;145;72.50
portal;15;8192;0;136;68.00
portal;15;8192;1;143;71.50
portal;15;8192;2;145;72.50
portal;15;8192;3;141;70.50
portal;15;8192;4;137;68.50
portal;15;8192;5;142;71.00
portal;15;8192;6;141;70.50
portal;15;8192;7;142;71.00
portal;15;8192;8;135;67.50
portal;15;8192;9;145;72.50
portal;15;8192;10;140;70.00
portal;15;8192;11;144;72.00
portal;15;8192;12;135;67.50
portal;15;8192;13;147;73.50
portal;15;8192;14;143;71.50
portal;15;8192;15;144;72.00
portal;16;8192;0;131;65.50
portal;16;8192;1;142;71.00
portal;16;8192;2;141;70.50
portal;16;8192;3;144;72.00
portal;16;8192;4;141;70.50
portal;16;8192;5;137;68.50
portal;16;8192;6;142;71.00
portal;16;8192;7;146;73.00
portal;16;8192;8;133;66.50
portal;16;8192;9;141;70.50
portal;16;8192;10;142;71.00
portal;16;8192;11;148;74.00
portal;16;8192;12;132;66.00
portal;16;8192;13;143;71.50
portal;16;8192;14;143;71.50
portal;16;8192;15;142;71.00
portal;17;8192;0;134;67.00
portal;17;8192;1;144;72.00
portal;17;8192;2;152;76.00
portal;17;8192;3;146;73.00
portal;17;8192;4;136;68.00
portal;17;8192;5;143;71.50
portal;17;8192;6;141;70.50
portal;17;8192;7;144;72.00
portal;17;8192;8;135;67.50
portal;17;8192;9;146;73.00
portal;17;8192;10;146;73.00
portal;17;8192;11;143;71.50
portal;17;8192;12;132;66.00
portal;17;8192;13;145;72.50
portal;17;8192;14;141;70.50
portal;17;8192;15;145;72.50
portal;18;8192;0;135;67.50
portal;18;8192;1;142;71.00
portal;18;8192;2;144;72.00
portal;18;8192;3;140;70.00
portal;18;8192;4;140;70.00
portal;18;8192;5;143;71.50
portal;18;8192;6;145;72.50
portal;18;8192;7;142;71.00
portal;18;8192;8;135;67.50
portal;18;8192;9;141;70.50
portal;18;8192;10;141;70.50
portal;18;8192;11;147;73.50
portal;18;8192;12;135;67.50
portal;18;8192;13;142;71.00
portal;18;8192;14;144;72.00
portal;18;8192;15;142;71.00
portal;19;8192;0;135;67.50
portal;19;8192;1;136;68.00
portal;19;8192;2;150;75.00
portal;19;8192;3;145;72.50
portal;19;8192;4;134;67.00
portal;19;8192;5;142;71.00
portal;19;8192;6;153;76.50
portal;19;8192;7;146;73.00
portal;19;8192;8;136;68.00
portal;19;8192;9;142;71.00
portal;19;8192;10;143;71.50
portal;19;8192;11;144;72.00
portal;19;8192;12;133;66.50
portal;19;8192;13;141;70.50
portal;19;8192;14;142;71.00
portal;19;8192;15;142;71.00
portal;20;8192;0;134;67.00
portal;20;8192;1;142;71.00
portal;20;8192;2;143;71.50
portal;20;8192;3;141;70.50
portal;20;8192;4;140;70.00
portal;20;8192;5;140;70.00
portal;20;8192;6;142;71.00
portal;20;8192;7;143;71.50
portal;20;8192;8;136;68.00
portal;20;8192;9;142;71.00
portal;20;8192;10;144;72.00
portal;20;8192;11;150;75.00
portal;20;8192;12;135;67.50
portal;20;8192;13;142;71.00
portal;20;8192;14;142;71.00
portal;20;8192;15;143;71.50
portal;21;8192;0;134;67.00
portal;21;8192;1;139;69.50
portal;21;8192;2;143;71.50
portal;21;8192;3;144;72.00
portal;21;8192;4;133;66.50
portal;21;8192;5;139;69.50
portal;21;8192;6;146;73.00
portal;21;8192;7;142;71.00
portal;21;8192;8;136;68.00
portal;21;8192;9;143;71.50
portal;21;8192;10;145;72.50
portal;21;8192;11;143;71.50
portal;21;8192;12;135;67.50
portal;21;8192;13;146;73.00
portal;21;8192;14;144;72.00
portal;21;8192;15;143;71.50
portal;22;8192;0;136;68.00
portal;22;8192;1;143;71.50
portal;22;8192;2;141;70.50
portal;22;8192;3;142;71.00
portal;22;8192;4;139;69.50
portal;22;8192;5;142;71.00
portal;22;8192;6;141;70.50
portal;22;8192;7;142;71.00
portal;22;8192;8;134;67.00
portal;22;8192;9;143;71.50
portal;22;8192;10;140;70.00
portal;22;8192;11;146;73.00
portal;22;8192;12;135;67.50
portal;22;8192;13;142;71.00
portal;22;8192;14;143;71.50
portal;22;8192;15;148;74.00
portal;23;8192;0;132;66.00
portal;23;8192;1;141;70.50
portal;23;8192;2;142;71.00
portal;23;8192;3;140;70.00
portal;23;8192;4;134;67.00
portal;23;8192;5;140;70.00
portal;23;8192;6;146;73.00
portal;23;8192;7;142;71.00
portal;23;8192;8;132;66.00
portal;23;8192;9;143;71.50
portal;23;8192;10;141;70.50
portal;23;8192;11;146;73.00
portal;23;8192;12;133;66.50
portal;23;8192;13;153;76.50
portal;23;8192;14;145;72.50
portal;23;8192;15;145;72.50
portal;24;8192;0;135;67.50
portal;24;8192;1;142;71.00
portal;24;8192;2;141;70.50
portal;24;8192;3;141;70.50
portal;24;8192;4;138;69.00
portal;24;8192;5;144;72.00
portal;24;8192;6;143;71.50
portal;24;8192;7;142;71.00
