type;exec;size;slave;master-slave;slave-master;latency
portal;8;4096;10;116;102;109.00
portal;8;4096;11;120;104;112.00
portal;8;4096;12;112;93;102.50
portal;8;4096;13;120;103;111.50
portal;8;4096;14;119;103;111.00
portal;8;4096;15;118;104;111.00
portal;9;4096;0;116;94;105.00
portal;9;4096;1;123;101;112.00
portal;9;4096;2;119;98;108.50
portal;9;4096;3;121;97;109.00
portal;9;4096;4;113;95;104.00
portal;9;4096;5;120;105;112.50
portal;9;4096;6;122;98;110.00
portal;9;4096;7;120;103;111.50
portal;9;4096;8;115;93;104.00
portal;9;4096;9;119;96;107.50
portal;9;4096;10;117;97;107.00
portal;9;4096;11;122;101;111.50
portal;9;4096;12;111;99;105.00
portal;9;4096;13;120;102;111.00
portal;9;4096;14;116;105;110.50
portal;9;4096;15;121;101;111.00
portal;10;4096;0;114;98;106.00
portal;10;4096;1;118;97;107.50
portal;10;4096;2;118;103;110.50
portal;10;4096;3;123;97;110.00
portal;10;4096;4;114;92;103.00
portal;10;4096;5;120;97;108.50
portal;10;4096;6;119;99;109.00
portal;10;4096;7;119;98;108.50
portal;10;4096;8;120;92;106.00
portal;10;4096;9;119;105;112.00
portal;10;4096;10;118;100;109.00
portal;10;4096;11;124;98;111.00
portal;10;4096;12;114;94;104.00
portal;10;4096;13;118;93;105.50
portal;10;4096;14;120;98;109.00
portal;10;4096;15;118;100;109.00
portal;11;4096;0;113;92;102.50
portal;11;4096;1;120;101;110.50
portal;11;4096;2;118;108;113.00
portal;11;4096;3;120;98;109.00
portal;11;4096;4;113;97;105.00
portal;11;4096;5;125;100;112.50
portal;11;4096;6;119;105;112.00
portal;11;4096;7;119;105;112.00
portal;11;4096;8;115;91;103.00
portal;11;4096;9;118;96;107.00
portal;11;4096;10;123;104;113.50
portal;11;4096;11;120;96;108.00
portal;11;4096;12;111;98;104.50
portal;11;4096;13;121;104;112.50
portal;11;4096;14;117;96;106.50
portal;11;4096;15;135;98;116.50
portal;12;4096;0;113;92;102.50
portal;12;4096;1;119;98;108.50
portal;12;4096;2;116;97;106.50
portal;12;4096;3;118;97;107.50
portal;12;4096;4;112;102;107.00
portal;12;4096;5;120;98;109.00
portal;12;4096;6;121;106;113.50
portal;12;4096;7;119;98;108.50
portal;12;4096;8;114;100;107.00
portal;12;4096;9;118;104;111.00
portal;12;4096;10;121;99;110.00
portal;12;4096;11;120;96;108.00
portal;12;4096;12;117;92;104.50
portal;12;4096;13;118;104;111.00
portal;12;4096;14;121;98;109.50
portal;12;4096;15;118;105;111.50
portal;13;4096;0;113;94;103.50
portal;13;4096;1;126;96;111.00
portal;13;4096;2;119;98;108.50
portal;13;4096;3;123;98;110.50
portal;13;4096;4;112;92;102.00
portal;13;4096;5;118;100;109.00
portal;13;4096;6;121;106;113.50
portal;13;4096;7;119;99;109.00
portal;13;4096;8;112;98;105.00
portal;13;4096;9;118;98;108.00
portal;13;4096;10;120;97;108.50
portal;13;4096;11;121;101;111.00
portal;13;4096;12;115;99;107.00
portal;13;4096;13;117;102;109.50
portal;13;4096;14;122;96;109.00
portal;13;4096;15;120;103;111.50
portal;14;4096;0;114;90;102.00
portal;14;4096;1;119;102;110.50
portal;14;4096;2;117;100;108.50
portal;14;4096;3;127;97;112.00
portal;14;4096;4;116;93;104.50
portal;14;4096;5;120;100;110.00
portal;14;4096;6;117;101;109.00
portal;14;4096;7;119;102;110.50
portal;14;4096;8;115;94;104.50
portal;14;4096;9;120;98;109.00
portal;14;4096;10;119;102;110.50
portal;14;4096;11;121;97;109.00
portal;14;4096;12;115;91;103.00
portal;14;4096;13;119;102;110.50
portal;14;4096;14;120;99;109.50
portal;14;4096;15;121;98;109.50
portal;15;4096;0;119;91;105.00
portal;15;4096;1;118;102;110.00
portal;15;4096;2;120;98;109.00
portal;15;4096;3;120;97;108.50
portal;15;4096;4;114;92;103.00
portal;15;4096;5;123;99;111.00
portal;15;4096;6;119;99;109.00
portal;15;4096;7;120;99;109.50
portal;15;4096;8;113;93;103.00
portal;15;4096;9;119;97;108.00
portal;15;4096;10;119;102;110.50
portal;15;4096;11;119;103;111.00
portal;15;4096;12;115;94;104.50
portal;15;4096;13;119;103;111.00
portal;15;4096;14;118;98;108.00
portal;15;4096;15;122;101;111.50
portal;16;4096;0;113;93;103.00
portal;16;4096;1;116;99;107.50
portal;16;4096;2;127;100;113.50
portal;16;4096;3;121;99;110.00
portal;16;4096;4;114;97;105.50
portal;16;4096;5;119;99;109.00
portal;16;4096;6;118;98;108.00
portal;16;4096;7;127;104;115.50
portal;16;4096;8;114;92;103.00
portal;16;4096;9;120;99;109.50
portal;16;4096;10;118;96;107.00
portal;16;4096;11;119;103;111.00
portal;16;4096;12;113;94;103.50
portal;16;4096;13;119;101;110.00
portal;16;4096;14;119;98;108.50
portal;16;4096;15;119;100;109.50
portal;17;4096;0;114;92;103.00
portal;17;4096;1;119;108;113.50
portal;17;4096;2;121;100;110.50
portal;17;4096;3;116;97;106.50
portal;17;4096;4;113;97;105.00
portal;17;4096;5;117;97;107.00
portal;17;4096;6;121;103;112.00
portal;17;4096;7;117;99;108.00
portal;17;4096;8;112;93;102.50
portal;17;4096;9;122;95;108.50
portal;17;4096;10;121;99;110.00
portal;17;4096;11;119;97;108.00
portal;17;4096;12;112;95;103.50
portal;17;4096;13;118;97;107.50
portal;17;4096;14;117;98;107.50
portal;17;4096;15;120;98;109.00
portal;18;4096;0;112;91;101.50
portal;18;4096;1;119;97;108.00
portal;18;4096;2;121;95;108.00
portal;18;4096;3;123;101;112.00
portal;18;4096;4;116;93;104.50
portal;18;4096;5;118;98;108.00
portal;18;4096;6;133;99;116.00
portal;18;4096;7;120;94;107.00
portal;18;4096;8;113;93;103.00
portal;18;4096;9;118;98;108.00
portal;18;4096;10;117;97;107.00
portal;18;4096;11;124;95;109.50
portal;18;4096;12;115;95;105.00
portal;18;4096;13;119;100;109.50
portal;18;4096;14;118;103;110.50
portal;18;4096;15;118;97;107.50
portal;19;4096;0;115;98;106.50
portal;19;4096;1;118;97;107.50
portal;19;4096;2;119;103;111.00
portal;19;4096;3;120;97;108.50
portal;19;4096;4;111;99;105.00
portal;19;4096;5;118;100;109.00
portal;19;4096;6;120;101;110.50
portal;19;4096;7;122;103;112.50
portal;19;4096;8;112;91;101.50
portal;19;4096;9;114;98;106.00
portal;19;4096;10;119;97;108.00
portal;19;4096;11;121;104;112.50
portal;19;4096;12;113;94;103.50
portal;19;4096;13;123;97;110.00
portal;19;4096;14;119;101;110.00
portal;19;4096;15;120;102;111.00
portal;20;4096;0;112;99;105.50
portal;20;4096;1;121;103;112.00
portal;20;4096;2;119;97;108.00
portal;20;4096;3;121;104;112.50
portal;20;4096;4;113;97;105.00
portal;20;4096;5;118;97;107.50
portal;20;4096;6;118;98;108.00
portal;20;4096;7;120;108;114.00
portal;20;4096;8;112;93;102.50
portal;20;4096;9;119;99;109.00
portal;20;4096;10;125;101;113.00
portal;20;4096;11;118;98;108.00
portal;20;4096;12;112;102;107.00
portal;20;4096;13;120;97;108.50
portal;20;4096;14;120;99;109.50
portal;20;4096;15;124;105;114.50
portal;21;4096;0;114;94;104.00
portal;21;4096;1;118;97;107.50
portal;21;4096;2;119;98;108.50
portal;21;4096;3;122;97;109.50
portal;21;4096;4;120;94;107.00
portal;21;4096;5;120;100;110.00
portal;21;4096;6;118;103;110.50
portal;21;4096;7;118;97;107.50
portal;21;4096;8;116;91;103.50
portal;21;4096;9;117;116;116.50
portal;21;4096;10;119;97;108.00
portal;21;4096;11;122;102;112.00
portal;21;4096;12;113;91;102.00
portal;21;4096;13;120;103;111.50
portal;21;4096;14;119;108;113.50
portal;21;4096;15;117;98;107.50
portal;22;4096;0;114;91;102.50
portal;22;4096;1;123;96;109.50
portal;22;4096;2;120;94;107.00
portal;22;4096;3;120;97;108.50
portal;22;4096;4;114;92;103.00
portal;22;4096;5;117;98;107.50
portal;22;4096;6;126;101;113.50
portal;22;4096;7;120;100;110.00
portal;22;4096;8;114;93;103.50
portal;22;4096;9;119;104;111.50
portal;22;4096;10;121;97;109.00
portal;22;4096;11;120;99;109.50
portal;22;4096;12;114;92;103.00
portal;22;4096;13;119;97;108.00
portal;22;4096;14;117;100;108.50
portal;22;4096;15;122;100;111.00
portal;23;4096;0;115;95;105.00
portal;23;4096;1;121;96;108.50
portal;23;4096;2;118;97;107.50
portal;23;4096;3;132;99;115.50
portal;23;4096;4;117;94;105.50
portal;23;4096;5;117;98;107.50
portal;23;4096;6;120;104;112.00
portal;23;4096;7;121;104;112.50
portal;23;4096;8;119;92;105.50
portal;23;4096;9;119;98;108.50
portal;23;4096;10;118;97;107.50
portal;23;4096;11;120;98;109.00
portal;23;4096;12;114;95;104.50
portal;23;4096;13;117;95;106.00
portal;23;4096;14;121;98;109.50
portal;23;4096;15;121;99;110.00
portal;24;4096;0;114;92;103.00
portal;24;4096;1;117;103;110.00
portal;24;4096;2;119;103;111.00
portal;24;4096;3;119;95;107.00
portal;24;4096;4;115;93;104.00
portal;24;4096;5;126;98;112.00
portal;24;4096;6;120;101;110.50
portal;24;4096;7;119;99;109.00
portal;24;4096;8;112;100;106.00
portal;24;4096;9;121;98;109.50
portal;24;4096;10;124;105;114.50
portal;24;4096;11;121;97;109.00
portal;24;4096;12;113;95;104.00
portal;24;4096;13;119;99;109.00
portal;24;4096;14;117;100;108.50
portal;24;4096;15;120;102;111.00
portal;25;4096;0;112;91;101.50
portal;25;4096;1;117;103;110.00
portal;25;4096;2;119;96;107.50
portal;25;4096;3;120;102;111.00
portal;25;4096;4;111;104;107.50
portal;25;4096;5;119;104;111.50
portal;25;4096;6;121;99;110.00
portal;25;4096;7;120;99;109.50
portal;25;4096;8;112;92;102.00
portal;25;4096;9;121;104;112.50
portal;25;4096;10;118;101;109.50
portal;25;4096;11;122;99;110.50
portal;25;4096;12;120;95;107.50
portal;25;4096;13;118;100;109.00
portal;25;4096;14;116;105;110.50
portal;25;4096;15;119;99;109.00
portal;26;4096;0;113;93;103.00
portal;26;4096;1;123;102;112.50
portal;26;4096;2;120;101;110.50
portal;26;4096;3;120;99;109.50
portal;26;4096;4;112;98;105.00
portal;26;4096;5;118;97;107.50
portal;26;4096;6;120;101;110.50
portal;26;4096;7;122;97;109.50
portal;26;4096;8;112;94;103.00
portal;26;4096;9;119;101;110.00
portal;26;4096;10;117;103;110.00
portal;26;4096;11;121;109;115.00
portal;26;4096;12;114;98;106.00
portal;26;4096;13;120;100;110.00
portal;26;4096;14;124;99;111.50
portal;26;4096;15;119;100;109.50
portal;27;4096;0;114;91;102.50
portal;27;4096;1;117;98;107.50
portal;27;4096;2;119;97;108.00
portal;27;4096;3;124;96;110.00
portal;27;4096;4;114;92;103.00
portal;27;4096;5;118;104;111.00
portal;27;4096;6;120;105;112.50
portal;27;4096;7;119;101;110.00
portal;27;4096;8;113;88;100.50
portal;27;4096;9;118;97;107.50
portal;27;4096;10;119;98;108.50
portal;27;4096;11;119;96;107.50
portal;27;4096;12;114;93;103.50
portal;27;4096;13;121;101;111.00
portal;27;4096;14;119;96;107.50
portal;27;4096;15;121;104;112.50
portal;28;4096;0;126;91;108.50
portal;28;4096;1;121;96;108.50
portal;28;4096;2;119;96;107.50
portal;28;4096;3;117;97;107.00
portal;28;4096;4;112;94;103.00
portal;28;4096;5;121;105;113.00
portal;28;4096;6;118;103;110.50
portal;28;4096;7;123;98;110.50
portal;28;4096;8;111;98;104.50
portal;28;4096;9;117;99;108.00
portal;28;4096;10;118;93;105.50
portal;28;4096;11;119;103;111.00
portal;28;4096;12;110;92;101.00
portal;28;4096;13;116;97;106.50
portal;28;4096;14;120;98;109.00
portal;28;4096;15;121;102;111.50
portal;29;4096;0;115;92;103.50
portal;29;4096;1;118;96;107.00
portal;29;4096;2;122;98;110.00
portal;29;4096;3;122;99;110.50
portal;29;4096;4;111;94;102.50
portal;29;4096;5;121;99;110.00
portal;29;4096;6;118;99;108.50
portal;29;4096;7;126;99;112.50
portal;29;4096;8;115;98;106.50
portal;29;4096;9;117;98;107.50
portal;29;4096;10;118;97;107.50
portal;29;4096;11;120;99;109.50
portal;29;4096;12;111;97;104.00
portal;29;4096;13;115;101;108.00
portal;29;4096;14;119;102;110.50
portal;29;4096;15;119;98;108.50
portal;30;4096;0;113;91;102.00
portal;30;4096;1;118;108;113.00
portal;30;4096;2;119;95;107.00
portal;30;4096;3;121;97;109.00
portal;30;4096;4;118;100;109.00
portal;30;4096;5;117;98;107.50
portal;30;4096;6;121;98;109.50
portal;30;4096;7;122;97;109.50
portal;30;4096;8;114;91;102.50
portal;30;4096;9;126;98;112.00
portal;30;4096;10;117;98;107.50
portal;30;4096;11;118;98;108.00
portal;30;4096;12;113;95;104.00
portal;30;4096;13;118;103;110.50
portal;30;4096;14;117;102;109.50
portal;30;4096;15;117;398;257.50
